rowguid,ModifiedDate
{0C7D8F81D7B14CF09C0A4CD8B6B50087},20171213 13:20:24.150000000
{6648747F78434002B31765389684C398},20171213 13:20:24.430000000
{568204DA93D742F48A7A4446A144277D},20171213 13:20:24.540000000
{0EFF57B94F4F41A68867658C199A5FC0},20171213 13:20:24.570000000
{B82F88D1FF794FD98C549D24C140F647},20171213 13:20:24.633000000
{1B3D077A19414D6E8328F7DC03595565},20171213 13:20:24.680000000
{C1898370A36F43A2987C0BF24FE3FB82},20171213 13:20:24.727000000
{2B50ABB8ABAB412BA4D04FD5EBEB5CBE},20171213 13:20:24.773000000
{5C0AB449A0874D8D834F3726061B6BFA},20171213 13:20:24.803000000
{0F3CC1D7F4844BDEB088B11EF03E2F52},20171213 13:20:24.850000000
{A417A3D100EB4D7FB793F93DC2C5391D},20171213 13:20:24.900000000
{EBD8A50F322E4426A39A566FD5535B1C},20171213 13:20:24.947000000
{1D61C426FF794E239EA59610CB063F3B},20171213 13:20:24.993000000
{C596EC29BA16441BA5EC7FED4C8344C4},20171213 13:20:25.040000000
{955E421A0AEB4D8FAE7488EFFB82E41A},20171213 13:20:25.087000000
{BC224F3F1776450E991AB2F2FB10F39A},20171213 13:20:25.133000000
{A51C9689FA2B41628CADB2500471221A},20171213 13:20:25.350000000
{301054EA0FDC47D4BBD18DBEB189EAD7},20171213 13:20:25.400000000
{5958EDCA352F44F4A8F23BF8AFF699DF},20171213 13:20:25.447000000
{85A4CF133DAD496BB1F727B990EF7EB8},20171213 13:20:25.493000000
{11E4F0C7D6B741BBBAED8AD7D052E378},20171213 13:20:25.553000000
{F99503C83F5B4D9094E7A14BD304A5B4},20171213 13:20:25.617000000
{A1A1E90983A740F498F55B0B2CA778CB},20171213 13:20:25.680000000
{20CD83C8A8E04800B73576D034EC114F},20171213 13:20:25.727000000
{97447E484812473788F7A00CF1AD495C},20171213 13:20:25.773000000
{6735DBDD8E9D425A93D1522EC1788737},20171213 13:20:25.820000000
{F44EB89F486E4652A96346134500FB55},20171213 13:20:25.850000000
{BE7F33EF371F47DA983337FAF98F8AF8},20171213 13:20:25.900000000
{225F62459FB944B0B705AAC0EDC677FE},20171213 13:20:25.977000000
{CD9FFE868CA44A3691FC1F61A955E435},20171213 13:20:26.023000000
{20F761BB53234714ABCEDB82428A6F5E},20171213 13:20:26.053000000
{4C235F6C275B4DE5860E98807873236D},20171213 13:20:26.100000000
{888C943302F14758ACA8EE544D2A2309},20171213 13:20:26.150000000
{849337D01D6B432783EF6700F2D20EC9},20171213 13:20:26.197000000
{7A6037EBAEFE4D05B925D022A158A5E4},20171213 13:20:26.243000000
{2F51BEB858424992B730E1EE8E8A498F},20171213 13:20:26.290000000
{5E98E09073E34289926599DBBDADD025},20171213 13:20:26.337000000
{5AD7C51D06FC46EBA9A114A4E1719D0A},20171213 13:20:26.383000000
{3FF6A2C421134BE58E8CE970E1668065},20171213 13:20:26.430000000
{7E972571E3494CEF932552CC339DF648},20171213 13:20:26.477000000
{D390F5C463DC4059930203EEA1CD3CBD},20171213 13:20:26.523000000
{A03E96BD1C42419CAF4E2E4E85E6D146},20171213 13:20:26.570000000
{0A6C0DB2E0E347C8A931E0AA55310F7F},20171213 13:20:26.617000000
{D970409B12694B42BD97863258BFC07E},20171213 13:20:26.663000000
{7E20705FE15248E18FBF9A1F99E4D804},20171213 13:20:26.710000000
{D840817E09D340FBA5FC1654474B7591},20171213 13:20:26.760000000
{02804145145F495B9A720078AAC9A85F},20171213 13:20:26.803000000
{D849CC8535074C0C932DD94CE7CCAC01},20171213 13:20:26.850000000
{607FF863F3BC42BBB399B438F6D39651},20171213 13:20:26.883000000
{81016571BD2C4F76900C2092765710BF},20171213 13:20:26.930000000
{CD7E8A48D000450B9E08E0FEF8048A13},20171213 13:20:26.977000000
{C1B94F32B42C4FE7A0FBF0C6D4755A19},20171213 13:20:27.023000000
{6D49529F50CE497E975788A1AAEA798C},20171213 13:20:27.070000000
{85B1635602354696A543C750AC3509E8},20171213 13:20:27.117000000
{395D317AE79F46D38ACD60BD400D4898},20171213 13:20:27.163000000
{129EF7107FB34AE898688CB56B0B662F},20171213 13:20:27.210000000
{032E14E320414908A0620171BAF4D416},20171213 13:20:27.260000000
{2A22FD03E6BB4D26ABC7FFFAB1EDA00A},20171213 13:20:27.303000000
{A4E686112AE6439ABABAE98032C9A519},20171213 13:20:27.350000000
{46AD6F6A1E17484D9D2B639CBEEA54E6},20171213 13:20:27.400000000
{1396CB170C4946E3A020C3C5B43C11AA},20171213 13:20:27.447000000
{D0715E80D94B404C9017CB52AD0D591C},20171213 13:20:27.477000000
{81D9CE2AC65B4A8B9315C615215B183F},20171213 13:20:27.523000000
{76045384B83D4CE3AE90007AD719BB7B},20171213 13:20:27.570000000
{CB1F3AACC45949FFBD3A613831F6B686},20171213 13:20:27.617000000
{3B868739F6014B67AE5DC3FAAE265378},20171213 13:20:27.663000000
{74FC4C0AEC694D67A254CD487FD48818},20171213 13:20:27.710000000
{A46228722E184CF583E4E3F8A1A6FE14},20171213 13:20:27.760000000
{A1D87D9AEF3942888072DFE7E26F12CD},20171213 13:20:27.803000000
{A8D72A5FE1534B018744745858D4FDFA},20171213 13:20:27.850000000
{4C9989001A8F44209B7CB01F3DE74AC1},20171213 13:20:27.900000000
{DF253C20F23A4A8A90B07B3A73E7718F},20171213 13:20:27.947000000
{BE19EFB4A4A344D487D19D142DCD98A2},20171213 13:20:27.993000000
{ED91ED2BD1BC4306B5275350925D5C35},20171213 13:20:28.023000000
{B4C18FD06A48469F9B3F8998F96FD042},20171213 13:20:28.070000000
{1C857FA7B6494EDBB3C26A00CD0AA513},20171213 13:20:28.117000000
{AE5919A912234BA08EDC1D74B9EF8ED6},20171213 13:20:28.163000000
{9AFF307D977C4E0CA2518B18AA5C5DDE},20171213 13:20:28.210000000
{AEA66160A0274A9DBA3303A5B9811984},20171213 13:20:28.260000000
{2B26690D69B24E749E093AF38FA3F2B5},20171213 13:20:28.303000000
{5A37FEC1E99A4567A81BDFC56822CF30},20171213 13:20:28.350000000
{8016D7E56D5A4D40B7376043EDA2CB0D},20171213 13:20:28.400000000
{F4F2785E35F84AAC9FBF4BE04A1E4699},20171213 13:20:28.447000000
{CA809E5C6ED24915AB53C97A1FEDF036},20171213 13:20:28.493000000
{A0ADA6A337A34EB89947A2694FC41A66},20171213 13:20:28.540000000
{DBE8F59B940642DAAFB5765051CEF944},20171213 13:20:28.587000000
{FAD9DEA3D50542B68DC3C0B06EBEA73E},20171213 13:20:28.633000000
{C762032BDD984A788E53B0736B294BAF},20171213 13:20:28.680000000
{CBBE652C5A294E369DDFFF0859036C61},20171213 13:20:28.727000000
{4FEB5D3FC3904FE4AF6F0E367A8B439E},20171213 13:20:28.773000000
{05A1377DE60F4F768F0A60AB36504E57},20171213 13:20:28.820000000
{478CD17ABDAB45B5908FDE28A9A1252C},20171213 13:20:28.867000000
{B99CD28749D44FE2A95C5F43348054FE},20171213 13:20:28.900000000
{05211184E6604F3992E076ACB6E861FE},20171213 13:20:28.947000000
{11A8DAB12A1243FA862B65CC0A0289BB},20171213 13:20:28.993000000
{7FA5877D34CE417792251EDB7B9EB1B3},20171213 13:20:29.040000000
{E554AFA0CAA94911A8A8718AE64E47C9},20171213 13:20:29.087000000
{724B11BA476349629753C83C3CDB1B54},20171213 13:20:29.133000000
{94CF606FFDA54A3FBC22D84D8404ABEE},20171213 13:20:29.180000000
{B0828B9D2F74467E8439E512F1EA9D7B},20171213 13:20:29.227000000
{322E11056F1A4D66AB8E9FF9F0B16CEB},20171213 13:20:29.273000000
{4DEB3443FD3343D19E22D780BD72165F},20171213 13:20:29.320000000
{F1654DBA117547939B42F69E27A9BA67},20171213 13:20:29.367000000
{3A8C614DD93743F986B63583F0E0476F},20171213 13:20:29.413000000
{AB8E487B0909434E94ADA1EF0F6238D6},20171213 13:20:29.447000000
{7F2270266F3D498588F0FE1FD6EAA6FF},20171213 13:20:29.493000000
{009A1303FCA44CC89F08C24027FBECF3},20171213 13:20:29.540000000
{6638DCE7BAD443E9A52EC18F2F0C63C8},20171213 13:20:29.587000000
{5382FD16F32C42E3B932AA7AFE9234F7},20171213 13:20:29.633000000
{A91A3135A3054C51A7C854ABFAB53073},20171213 13:20:29.680000000
{893F8B02786448A29AF3EAD465DECB4E},20171213 13:20:29.710000000
{0CDDA3A9BDE44975A0F0880095420301},20171213 13:20:29.760000000
{8EA1DB76B2824E2CAE69241F9D0294C4},20171213 13:20:29.803000000
{DDE292F31A0442E6B31BF567678A5294},20171213 13:20:29.850000000
{6400729C07AE42AD988E85DC36BC2C61},20171213 13:20:29.900000000
